date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:43:49	5028/5028	---MCZ	200	added ('OK')	text/html	etag:W/%2213a4-17a9c3175c8%22	https://glitch.com/	C:/Users/user/Music/panel/try/glitch.com/index.html	(from )
22:43:50	1805/1805	---MCZ	200	added ('OK')	text/html	etag:W/%2213a4-17a9c3175c8%22	https://glitch.com/robots.txt		(from )
22:43:51	15086/15086	---MCZ	200	added ('OK')	image/x-icon	etag:W/%223aee-17a9c306458%22	https://glitch.com/favicon.ico	C:/Users/user/Music/panel/try/glitch.com/favicon.ico	(from https://glitch.com/)
22:43:51	117369/117369	---M--	200	added ('OK')	image/png	etag:%222e437976082b3ee4f5376e05e48f0c2b%22	https://cdn.glitch.com/605e2a51-d45f-4d87-a285-9410ad350515%2Fglitch-social.png?v=1619667563754	C:/Users/user/Music/panel/try/cdn.glitch.com/605e2a51-d45f-4d87-a285-9410ad350515/glitch-sociale915.png	(from https://glitch.com/)
22:43:52	11371/11371	---M--	200	added ('OK')	image/png	etag:W/%222c6b-17a9c306458%22	https://glitch.com/apple-touch-icon.png	C:/Users/user/Music/panel/try/glitch.com/apple-touch-icon.png	(from https://glitch.com/)
22:43:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Jul%202021%2014:43:52%20GMT	https://cloud.webtype.com/css/3a8e55c6-b1f3-4659-99eb-125ae72bd084.css	C:/Users/user/Music/panel/try/cloud.webtype.com/css/3a8e55c6-b1f3-4659-99eb-125ae72bd084.3.delayed	(from https://glitch.com/)
22:43:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2015%20Jul%202021%2014:43:53%20GMT	https://cloud.typenetwork.com/css/3a8e55c6-b1f3-4659-99eb-125ae72bd084.css	C:/Users/user/Music/panel/try/cloud.typenetwork.com/css/3a8e55c6-b1f3-4659-99eb-125ae72bd084.4.delayed	(from https://glitch.com/)
22:43:54	45376/45376	---M-Z	200	added ('OK')	application/json	date:Tue,%2006%20Jul%202021%2017:59:39%20GMT	https://cdn.optimizely.com/datafiles/GZMqH7Aou8QmcPV2hm16wj.json/tag.js	C:/Users/user/Music/panel/try/cdn.optimizely.com/datafiles/GZMqH7Aou8QmcPV2hm16wj.json/tag.json	(from https://glitch.com/)
22:43:56	1628181/1628181	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218d815-17a9c3175c8%22	https://glitch.com/assets/index.4b704bea.js	C:/Users/user/Music/panel/try/glitch.com/assets/index.4b704bea.js	(from https://glitch.com/)
22:43:56	427847/427847	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268747-17a9c3175c8%22	https://glitch.com/assets/design.325bb552.js	C:/Users/user/Music/panel/try/glitch.com/assets/design.325bb552.js	(from https://glitch.com/)
22:43:57	86278/86278	---MCZ	200	added ('OK')	text/css	etag:W/%2215106-17a9c3175c8%22	https://glitch.com/assets/index.509f69d8.css	C:/Users/user/Music/panel/try/glitch.com/assets/index.509f69d8.css	(from https://glitch.com/)
